,Year,Name,Games,Category,PPG,TRB,APG,SPG,BPG,FGP,FG3P,FTPCT,WS,WS_per_48
0,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,2020,Patrick Baumann   ,,Contributor,,,,,,,,,,
3,2020,Kobe Bryant   ,1346,Player,25.0,5.2,4.7,1.4,0.5,.447,.329,.837,172.7,.170
4,2020,WNBA,,Player,,,,,,,,,,
5,2020,Tim Duncan   ,1392,Player,19.0,10.8,3.0,0.7,2.2,.506,.179,.696,206.4,.209
6,2020,Kevin Garnett   ,1462,Player,17.8,10.0,3.7,1.3,1.4,.497,.275,.789,191.4,.182
7,2020,Kim Mulkey   ,,Coach,,,,,,,,,,
8,2020,Barbara Stevens   ,,Coach,,,,,,,,,,
9,2020,Eddie Sutton   ,,Coach,,,,,,,,,,
10,2020,Rudy Tomjanovich   ,,Coach,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,2019,Tennessee A&I Teams Of 1957-59   ,,Team,,,,,,,,,,
14,2019,Wayland Baptist University Teams Of 1948-82   ,,Team,,,,,,,,,,
15,2019,Al Attles   ,,Contributor,,,,,,,,,,
16,2019,Carl Braun   ,788,Player,13.5,3.4,3.7,,,.383,,.804,64.3,.119
17,2019,Charles “Chuck” Cooper   ,409,Player,6.7,5.9,1.8,,,.339,,.743,11.6,.050
18,2019,Vlade Divac   ,1134,Player,11.8,8.2,3.1,1.1,1.4,.495,.235,.692,96.4,.137
19,2019,Bill Fitch   ,,Coach,,,,,,,,,,
20,2019,Bobby Jones   ,941,Player,12.1,6.1,2.7,1.5,1.4,.560,.000,.766,94.1,.175
21,2019,Sidney Moncrief   ,767,Player,15.6,4.7,3.6,1.2,0.3,.502,.284,.831,90.3,.187
22,2019,Jack Sikma   ,1107,Player,15.6,9.8,3.2,1.0,0.9,.464,.328,.849,112.5,.146
23,2019,WNBA,,Player,,,,,,,,,,
24,2019,Paul Westphal   ,823,Player,15.6,1.9,4.4,1.3,0.3,.504,.275,.820,67.7,.155
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,2018,Ray Allen   ,1300,Player,18.9,4.1,3.4,1.1,0.2,.452,.400,.894,145.1,.150
28,2018,Maurice Cheeks   ,1101,Player,11.1,2.8,6.7,2.1,0.3,.523,.255,.793,103.5,.143
29,2018,"Charles ""Lefty"" Driesell   ",,Coach,,,,,,,,,,
30,2018,Grant Hill   ,1026,Player,16.7,6.0,4.1,1.2,0.6,.483,.314,.769,99.9,.138
31,2018,Jason Kidd   ,1391,Player,12.6,6.3,8.7,1.9,0.3,.400,.349,.785,138.6,.133
32,2018,Steve Nash   ,1217,Player,14.3,3.0,8.5,0.7,0.1,.490,.428,.904,129.7,.164
33,2018,Dino Radja   ,224,Player,16.7,8.4,1.6,0.9,1.3,.497,.000,.735,14.3,.094
