Player,PTS,WS,HOF,VALUE,G,WS/48,Year,AST,STL,BLK,TOV,FG%,FT%,OWS,DWS,Pos,TRB,PPG,MVP,APG,SPG,BPG,TPG,RPG
A.C. Green,12928.0,104.20000000000002,NOHOF,0,1361.0,0.12211111111111111,1986.0,1469.0,1103.0,562.0,1508.0,0.4876666666666666,0.7080555555555557,60.70000000000001,43.5,PF,10129.0,9.498897869213813,0,1.0793534166054373,0.8104335047759,0.4129316678912564,1.1080088170462894,7.442321822189567
A.J. Bramlett,8.0,-0.2,NOHOF,0,8.0,-0.129,2000.0,0.0,1.0,0.0,3.0,0.19,,-0.2,0.1,C,22.0,1.0,0,0.0,0.125,0.0,0.375,2.75
A.J. English,1502.0,1.1,NOHOF,0,151.0,0.0165,1991.0,320.0,57.0,24.0,203.0,0.436,0.774,-0.4,1.4,SG,315.0,9.947019867549669,0,2.119205298013245,0.37748344370860926,0.15894039735099338,1.3443708609271523,2.0860927152317883
A.J. Guyton,442.0,0.30000000000000004,NOHOF,0,80.0,-0.14133333333333334,2001.0,147.0,20.0,12.0,62.0,0.25566666666666665,0.824,0.30000000000000004,-0.1,PG,80.0,5.525,0,1.8375,0.25,0.15,0.775,1.0
A.J. Hammons,48.0,0.0,NOHOF,0,22.0,-0.001,2017.0,4.0,1.0,13.0,10.0,0.405,0.45,-0.2,0.2,C,36.0,2.1818181818181817,0,0.18181818181818182,0.045454545454545456,0.5909090909090909,0.45454545454545453,1.6363636363636365
A.J. Price,1656.0,5.000000000000001,NOHOF,0,287.0,0.021444444444444447,2010.0,613.0,132.0,9.0,243.0,0.3552222222222222,0.63225,1.0999999999999999,3.7000000000000006,PG,409.0,5.770034843205575,0,2.1358885017421603,0.45993031358885017,0.0313588850174216,0.8466898954703833,1.4250871080139373
A.J. Wynder,12.0,0.0,NOHOF,0,6.0,-0.051,1991.0,8.0,1.0,0.0,4.0,0.25,0.75,-0.1,0.0,PG,3.0,2.0,0,1.3333333333333333,0.16666666666666666,0.0,0.6666666666666666,0.5
A.W. Holt,4.0,-0.1,NOHOF,0,6.0,-0.39799999999999996,1971.0,0.0,0.0,0.0,0.0,0.125,0.667,-0.1,0.0,SF,4.0,0.6666666666666666,0,0.0,0.0,0.0,0.0,0.6666666666666666
Aaron Brooks,7839.0,23.200000000000003,NOHOF,0,797.0,0.05233333333333333,2008.0,2485.0,469.0,113.0,1272.0,0.4031333333333333,0.8380000000000001,13.1,9.899999999999999,PG,1360.0,9.835633626097867,0,3.117942283563363,0.588456712672522,0.14178168130489335,1.5959849435382685,1.7063989962358845
Aaron Gordon,1981.0,10.100000000000001,NOHOF,0,205.0,0.09166666666666667,2015.0,311.0,144.0,117.0,193.0,0.45799999999999996,0.7026666666666666,5.5,4.6000000000000005,PF,1081.0,9.663414634146342,0,1.5170731707317073,0.7024390243902439,0.5707317073170731,0.9414634146341463,5.273170731707317
Aaron Gray,1235.0,7.1,NOHOF,0,387.0,0.06472727272727273,2008.0,251.0,113.0,106.0,314.0,0.5087272727272727,0.56,1.7000000000000002,5.700000000000001,C,1407.0,3.1912144702842378,0,0.648578811369509,0.29198966408268734,0.2739018087855297,0.8113695090439277,3.635658914728682
Aaron Harrison,19.0,-0.1,NOHOF,0,26.0,-0.07999999999999999,2016.0,5.0,6.0,0.0,4.0,0.1315,0.4585,-0.30000000000000004,0.1,SG,18.0,0.7307692307692307,0,0.19230769230769232,0.23076923076923078,0.0,0.15384615384615385,0.6923076923076923
Aaron James,3829.0,13.2,NOHOF,0,356.0,0.0814,1975.0,370.0,158.0,69.0,241.0,0.4798,0.7608,7.8,5.3,SF,1470.0,10.75561797752809,0,1.0393258426966292,0.4438202247191011,0.19382022471910113,0.6769662921348315,4.129213483146067
