Player,PTS,WS,HOF,VALUE,G,WS/48,Year,AST,STL,BLK,TOV,FG%,FT%,OWS,DWS,Pos,TRB,PPG,MVP,APG,SPG,BPG,TPG,RPG
Adrian Dantley*,26274.0,153.99999999999997,HOF,1,1107.0,0.17726315789473682,1977.0,3254.0,1105.0,187.0,2894.0,0.5199473684210527,0.8091052631578948,126.5,27.1,SF,6392.0,23.73441734417344,0,2.939476061427281,0.998193315266486,0.16892502258355918,2.6142728093947607,5.7741644083107495
Alex English*,26931.0,105.89999999999998,HOF,1,1271.0,0.11894117647058824,1977.0,4575.0,1140.0,895.0,3035.0,0.502764705882353,0.8179411764705882,80.8,25.0,SF,7143.0,21.18882769472856,0,3.5995279307631787,0.8969315499606609,0.7041699449252558,2.387883556254917,5.619984264358773
Allen Iverson*,27457.0,108.69999999999997,HOF,1,1064.0,0.10799999999999998,1997.0,6488.0,2213.0,185.0,3740.0,0.4337000000000001,0.7671,66.2,42.6,PG,3839.0,25.80545112781955,1,6.097744360902255,2.079887218045113,0.17387218045112782,3.5150375939849625,3.6080827067669174
Alonzo Mourning*,14593.0,90.9,HOF,1,875.0,0.14870588235294122,1993.0,964.0,422.0,2430.0,2266.0,0.520529411764706,0.6639999999999999,41.3,49.5,C,7335.0,16.677714285714284,0,1.1017142857142856,0.48228571428571426,2.777142857142857,2.589714285714286,8.382857142857143
Arnie Risen*,6638.0,45.3,HOF,1,577.0,0.11514285714285713,1950.0,958.0,0.0,0.0,0.0,0.37277777777777776,0.7013333333333334,23.1,22.4,C,5011.0,11.504332755632582,0,1.660311958405546,0.0,0.0,0.0,8.684575389948007
Artis Gilmore*,15844.0,108.39999999999999,HOF,1,980.0,0.1472857142857143,1977.0,1798.0,485.0,1777.0,2414.0,0.5930000000000001,0.6742857142857143,70.80000000000001,37.49999999999999,C,9372.0,16.16734693877551,0,1.8346938775510204,0.49489795918367346,1.813265306122449,2.463265306122449,9.56326530612245
Arvydas Sabonis*,5629.0,47.1,HOF,1,470.0,0.19742857142857143,1996.0,964.0,370.0,494.0,837.0,0.4972857142857143,0.7869999999999999,24.0,23.4,C,3436.0,11.976595744680852,0,2.051063829787234,0.7872340425531915,1.0510638297872341,1.7808510638297872,7.31063829787234
Bailey Howell*,17770.0,114.69999999999999,HOF,1,950.0,0.17666666666666667,1960.0,1853.0,0.0,0.0,0.0,0.47841666666666677,0.7578333333333335,83.80000000000001,30.900000000000002,PF,9383.0,18.705263157894738,0,1.9505263157894737,0.0,0.0,0.0,9.876842105263158
Bernard King*,19655.0,75.2,HOF,1,874.0,0.11364285714285716,1978.0,2863.0,866.0,230.0,2791.0,0.5177857142857144,0.7188571428571428,49.300000000000004,25.8,SF,5060.0,22.488558352402745,0,3.2757437070938216,0.9908466819221968,0.2631578947368421,3.1933638443935926,5.7894736842105265
Bill Russell*,14522.0,163.39999999999998,HOF,1,963.0,0.19161538461538463,1957.0,4100.0,0.0,0.0,0.0,0.43892307692307686,0.5590769230769231,29.9,133.60000000000002,C,21620.0,15.079958463136034,5,4.257528556593977,0.0,0.0,0.0,22.45067497403946
Bill Sharman*,12665.0,82.8,HOF,1,711.0,0.17750000000000002,1951.0,2101.0,0.0,0.0,0.0,0.42145454545454536,0.883909090909091,61.4,21.400000000000002,SG,2793.0,17.81293952180028,0,2.9549929676511955,0.0,0.0,0.0,3.928270042194093
Billy Cunningham*,13626.0,63.1,HOF,1,654.0,0.13155555555555556,1966.0,2625.0,115.0,45.0,0.0,0.4421111111111111,0.7227777777777777,32.800000000000004,30.599999999999998,SF,6638.0,20.834862385321102,0,4.013761467889908,0.17584097859327216,0.06880733944954129,0.0,10.149847094801224
Bob Cousy*,16960.0,90.99999999999999,HOF,1,924.0,0.13630769230769232,1951.0,6955.0,0.0,0.0,0.0,0.37185714285714294,0.8145714285714284,40.6,50.4,PG,4786.0,18.354978354978353,1,7.5270562770562774,0.0,0.0,0.0,5.17965367965368
Bob Lanier*,20458.0,124.60000000000001,HOF,1,1022.0,0.17206250000000003,1971.0,3191.0,851.0,1189.0,1274.0,0.519875,0.7635000000000001,80.4,43.99999999999999,C,10250.0,20.01761252446184,0,3.1223091976516635,0.8326810176125244,1.1634050880626223,1.2465753424657535,10.029354207436398
Bob McAdoo*,22300.0,104.60000000000002,HOF,1,1000.0,0.1172,1973.0,2354.0,919.0,1326.0,1472.0,0.49029999999999996,0.7320500000000001,65.2,39.4,PF,9561.0,22.3,1,2.354,0.919,1.326,1.472,9.561
Bob Pettit*,20880.0,136.1,HOF,1,792.0,0.21245454545454542,1955.0,2369.0,0.0,0.0,0.0,0.4338181818181818,0.7635454545454544,91.69999999999999,44.4,PF,12849.0,26.363636363636363,2,2.9911616161616164,0.0,0.0,0.0,16.223484848484848
